Column1,Column2
   ,
,
6.19E-02,51170000
7.49E-02,51169000
1.01E-01,50803000
1.27E-01,49858000
1.52E-01,48559000
1.76E-01,47033000
2.02E-01,45316000
2.27E-01,43569000
2.53E-01,41897000
2.78E-01,40301000
3.03E-01,38798000
3.28E-01,37395000
3.54E-01,36090000
3.79E-01,34866000
4.04E-01,33710000
4.30E-01,32629000
4.55E-01,31604000
4.80E-01,30634000
5.06E-01,29712000
5.31E-01,28822000
5.56E-01,27972000
5.82E-01,27130000
6.07E-01,26311000
6.32E-01,25483000
6.58E-01,24637000
6.83E-01,23706000
7.08E-01,22614000
7.33E-01,21257000
7.59E-01,19881000
7.84E-01,18495000
8.09E-01,17089000
8.35E-01,15649000
8.60E-01,14156000
8.85E-01,12582000
9.11E-01,10881000
9.36E-01,8977100
9.57E-01,7138800
